what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108165296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108170687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108170703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108211750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108212187
started,bundle,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui,1229108234890
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.ui,1229108236578
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.1.v200807241900,org.eclipse.wst.jsdt.web.core,1229108236671
started,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1229108237859
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1229108238859
opened,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229108239234
started,bundle,org.eclipse.jst.j2ee.jca,1.1.202.v200809102205,org.eclipse.jst.j2ee.jca,1229108239671
started,bundle,org.eclipse.php.debug.ui,1.0.5.v20081126-1856,org.eclipse.php.debug.ui,1229108240125
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229108240203
started,bundle,org.eclipse.jpt.core,2.0.101.v200809020200,org.eclipse.jpt.core,1229108240375
started,bundle,org.eclipse.jst.jsf.ui,1.1.101.v20080909,org.eclipse.jst.jsf.ui,1229108240828
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.202.v200809040612,org.eclipse.jst.j2ee.ejb,1229108240937
started,bundle,org.eclipse.jst.common.frameworks,1.1.200.v200805140020,org.eclipse.jst.common.frameworks,1229108241000
started,bundle,org.eclipse.jst.j2ee.web,1.1.201.v200807290757,org.eclipse.jst.j2ee.web,1229108241203
activated,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229108244140
started,bundle,org.eclipse.php.server.core,1.0.5.v20081126-1856,org.eclipse.php.server.core,1229108299281
started,bundle,org.eclipse.php.debug.core,1.0.5.v20081126-1856,org.eclipse.php.debug.core,1229108299484
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229108302484
activated,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229108359250
closed,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229108359265
