what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110555750
closed,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110560437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110560500
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1229110560515
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1229110560515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110561437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110561453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110561515
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110568265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1229110569906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110572703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110641703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110643203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110643218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110643265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110711671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1229110715343
opened,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110717796
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110717890
activated,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229110727531
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110733218
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229110736140
activated,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229110737656
opened,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110737890
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110737968
