what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1229109705312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109714234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109714234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109714343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109866421
opened,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229109876437
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229109876531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109884828
executed,command,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.pdt.ui.edit.text.php.show.outline,1229109884843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109892234
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109899140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109899140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109899234
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109935687
activated,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229109937671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229109948578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110355343
activated,editor,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.editor,1229110360671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110362031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110485218
activated,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229110488781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110499031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110505937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110507171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229110539312
