what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229107079578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229107079656
started,bundle,org.eclipse.wst.wsdl.validation,1.1.302.v200807240215,org.eclipse.wst.wsdl.validation,1229107079781
started,bundle,org.eclipse.wst.xsd.core,1.1.301.v200807240448,org.eclipse.wst.xsd.core,1229107079828
started,bundle,org.eclipse.wst.html.core,1.1.202.v200808281704,org.eclipse.wst.html.core,1229107081937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229107098406
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1229107098937
opened,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229107099093
activated,perspective,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.perspective,1229107099187
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1229107099218
activated,view,org.eclipse.php.ui,1.0.5.v20081126-1856,org.eclipse.php.ui.explorer,1229107100359
started,bundle,org.eclipse.jem.workbench,2.0.101.v200807170530,org.eclipse.jem.workbench,1229107179968
started,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1229107180281
started,bundle,org.eclipse.wst.css.core,1.1.201.v200808072008,org.eclipse.wst.css.core,1229107180687
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,org.eclipse.wst.common.uriresolver,1229107180718
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,org.eclipse.wst.internet.cache,1229107182218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229107247703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229107276125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229107283640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108106515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108117671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108117671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108117765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108154500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229108161984
